add.POSIXct,viz_owner_repo,commit.POSIXct,source,title
2023-12-04T20:54:09.734467Z,tdhock/2023-12-04-degree-neighbors,2023-12-04T20:53:37Z,https://github.com/tdhock/cs499-spring2020/blob/master/2020-02-03-capacity/figure-polynomial-neighbors-interactive.R,Overfitting using linear model polynomial degree and nearest neighbors
2023-12-14T18:27:58.496867Z,tdhock/2023-12-13-train-predict-subsets-regression,2023-12-14T18:27:16Z,https://github.com/tdhock/mlr3resampling/blob/d7cbe06fdb562ff8c1c8b4ad0bc055b65bd7b2c6/vignettes/Simulations.Rmd,"Train/predict on subsets, regression"
2023-12-15T05:20:02.175958Z,tdhock/2023-12-13-train-predict-subsets-classification,2023-12-15T05:18:56Z,https://github.com/tdhock/mlr3resampling/blob/d7cbe06fdb562ff8c1c8b4ad0bc055b65bd7b2c6/vignettes/Simulations.Rmd,"Train/predict on subsets, classification"
2023-12-27T00:28:18.882549Z,tdhock/2023-12-26-train-sizes-regression,2023-12-27T00:28:07Z,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/Simulations.Rmd,"Variable size train set, regression"
2023-12-28T05:38:10.709887Z,tdhock/2023-12-27-train-sizes-classification,2023-12-28T05:37:38Z,https://github.com/tdhock/mlr3resampling/blob/main/vignettes/ResamplingVariableSizeTrainCV.Rmd,"Variable size train sets, classification"
2024-04-09T16:39:27.672970Z,tdhock/Animated2GradCAM-COVID19-Chest-X-ray-ViT-V2-200px-696Case,2024-04-09T16:38:46Z,https://github.com/TyBruceChen/Research-A-Fined-Tuned-ViT-for-COVID-19-Image-Auxiliary-Diagnosing,Classifying Covid19 chest X-ray images
2024-04-09T22:40:29.930902Z,tdhock/Animated2GradCAM-COVID19-Chest-X-ray-ViT-V3-140px-609Case,2024-04-09T22:39:37Z,https://github.com/TyBruceChen/Animinted2GradCAM?tab=readme-ov-file,"Classifying chest X-rays, plot confidence"
2024-05-22T23:26:19.636261Z,tdhock/2024-05-22-changepoint-model-selection,2024-05-22T23:25:22Z,https://github.com/tdhock/changepoint-data-structure/blob/master/figure-loss-small-data.R,Changepoint model selection
2024-06-12T15:11:58.153638Z,nhintruong/Ch18-neural-networks-sim,2024-06-11T15:33:47Z,https://github.com/tdhock/animint-book/blob/7e7a224c004843d42a6f7e6caa30e319bcdce901/Ch18-neural-networks-sim.R,Neural network vs linear model
2024-06-20T06:28:52.855298Z,nhintruong/figure-gradient-descent-regression,2024-06-15T17:27:47Z,https://github.com/tdhock/cs570-spring-2022/blob/969c42e6e6a704271c330bbf9424dfd50753e8bc/figure-gradient-descent-regression.R,Gradient descent for regression
2024-06-20T06:28:52.855298Z,nhintruong/figure-aum-convexity-interactive,2024-06-19T06:25:57Z,https://github.com/tdhock/max-generalized-auc/blob/42cc5c79fa442e22313ae5f903c846f13483eb41/figure-aum-convexity-interactive.R,Simple non-monotonic ROC curve
2024-06-20T06:28:52.855298Z,nhintruong/figure-curveAlignment,2024-06-19T17:43:04Z,https://github.com/tdhock/max-generalized-auc/blob/286f7971ffaeee576673372c0f3114ad943137e3/figure-curveAlignment.R,Changepoint detection ROC curve alignment problem
2024-06-20T07:05:48.465105Z,nhintruong/figure-2019-08-14-animint,2024-06-20T07:03:42Z,https://github.com/tdhock/neuroblastoma-data/blob/ff51e847a4d7b2fe61c1ad7e5f17c4d039aa2c9d/figure-2019-08-14-animint.R,Gaussian Process models for sample selection
2024-06-20T09:24:34.443635Z,nhintruong/figure-neuroblastomaProcessed-complex,2024-06-20T09:22:29Z,https://github.com/tdhock/max-generalized-auc/blob/a0f35b45b2d5b089d1ea1e35cd582a3a4a1965fa/figure-neuroblastomaProcessed-complex.R,ROC curves for neuroblastoma data with several minima
2024-06-20T09:43:51.281926Z,nhintruong/figure-candidates-interactive,2024-06-20T09:43:43Z,https://github.com/tdhock/LOPART-paper/blob/ecb699a1eb58792ccada0c6990adce9efbbdafac/figure-candidates-interactive.R,LOPART algorithm
2024-07-10T07:09:31.260003Z,tdhock/2024-07-04-HMM-angular-data,2024-07-04T05:08:41Z,https://github.com/tdhock/angular-change-paper/blob/main/figure-2d-hmm-real-interactive.R,Hidden Markov Model for 2d angular data
2024-07-10T07:09:31.260003Z,tdhock/2024-06-26-neuroblastomaProcessed-combinations,2024-06-26T12:54:32Z,https://github.com/tdhock/max-generalized-auc/blob/master/figure-neuroblastomaProcessed-combinations-interactive.R,Generalized ROC curve metrics
2024-07-10T07:09:31.260003Z,nhintruong/breakpoints,2024-07-10T06:22:56Z,https://github.com/animint/animint2/blob/4b1049bc1d8ee8dbd78b31f52a5863496fae5931/inst/examples/breakpoints.R,breakpoints select multiple segmentation models
2024-07-15T05:42:30.790354Z,nhintruong/Tornado-select-multiple-states,2024-07-14T16:46:36Z,https://github.com/tdhock/animint-paper/blob/ff0e123bb13b2f94e79ded8ab660e01f84c78958/examples/tornado/viz.R#L5,Tornado select multiple states
2024-07-16T19:27:30.967598Z,nhintruong/Figure-Penalty-Learning,2024-07-16T19:25:25Z,https://github.com/tdhock/mmit-paper/blob/master/figure-penaltyLearning.R,Penalty Learning
2024-07-16T19:27:30.967598Z,nhintruong/Figure-PeakSegPDPA-demo,2024-07-16T19:26:08Z,https://github.com/tdhock/PeakSegFPOP-paper/blob/master/figure-PeakSegPDPA-demo.R,Constrained Pruned Dynamic Programming Algorithm
2024-07-16T19:31:45.259024Z,nhintruong/Constrained-PDPA-Normal-Real,2024-07-16T19:31:38Z,https://github.com/tdhock/PeakSegFPOP-paper/blob/aa762a058cf592055b03b6ffaaeac62e0ce78cf5/figure-constrained-PDPA-normal-real.R,Constrained Pruned Dynamic Programming Algorithm
2024-07-18T10:38:18.997190Z,nhintruong/intreg-BIC,2024-07-18T09:52:18Z,https://github.com/tdhock/animint/blob/master/inst/examples/intreg.R,Intreg BIC
2024-07-18T10:38:18.997190Z,nhintruong/Montreal-cyclists-and-accidents,2024-07-18T10:32:02Z,https://github.com/tdhock/montreal-velos/blob/2e4878295cf5886061b781e5eba018d275bdfd74/figure-timeseries.R,"Montreal cyclists and accidents, 2009-2014"
2024-07-18T10:43:17.525443Z,nhintruong/WorldBank-paper,2024-07-18T10:43:10Z,https://github.com/tdhock/animint/blob/master/inst/examples/WorldBank-paper.R,World Bank data (Animint paper version)
2024-07-20T18:52:23.279750Z,nhintruong/WorldBank-facets,2024-07-20T13:42:51Z,https://github.com/tdhock/animint/blob/master/inst/examples/WorldBank-facets.R,"World Bank data (multiple selection, facets)"
2024-07-21T18:57:40.674190Z,nhintruong/Central-American-temperature-maps,2024-07-21T07:54:16Z,https://github.com/tdhock/animint-paper/blob/3145684d8a164d8d576fc00a078a72083b4d5389/examples/climate/viz.R,Central American temperature maps
2024-07-21T19:11:15.286253Z,nhintruong/Max-margin-interval-tree,2024-07-16T19:25:25Z,https://github.com/tdhock/mmit-paper/blob/master/figure-penaltyLearning.R,Penalty Learning
2024-07-24T18:17:36.892354Z,nhintruong/temperature-sensor,2024-07-24T17:55:12Z,https://github.com/tdhock/temperature-sensor/blob/5172bf9959c1e5e6c42cf3e87b4c87973bb9e546/analysis/figure-timeseries.R,Temperature in Bioinformatics office and outside in Montreal
